date,score,rs,fs
2020-04-01 00:05:04+00:00,-0.3176225305899241,-3624.5116321461937,-15428.55220224668
2020-04-02 00:02:45+00:00,-0.32882277775957536,-2662.807454976355,-10352.202210499874
2020-04-03 00:01:03+00:00,-0.2638529259451062,-1005.8632729155878,-3668.4397514241327
2020-04-04 00:00:17+00:00,-0.2280751618506237,-1805.105247644613,-6788.213895468182
2020-04-05 00:59:50+00:00,-0.22687684003925418,-1860.4777355250246,-5900.838579489696
2020-04-06 00:12:44+00:00,-0.22113974699903075,-1841.759872753933,-5530.376891915401
2020-04-07 00:51:49+00:00,-0.12971047095589577,1792.949280737381,7959.365857217555
2020-04-08 00:00:00+00:00,-0.3584664181180791,-2958.3453007623393,-6129.968393522898
2020-04-09 00:00:00+00:00,-0.21988862370723947,-2156.447232640073,-6093.7050801227415
2020-04-10 00:01:34+00:00,-0.09588264783452125,16838.113657664726,34924.31439220558
