date,score,rs,fs
2020-03-01 00:01:33+00:00,-0.774261449,-5218.979757,-18085.15126
2020-03-02 00:14:48+00:00,-0.361139456,-46.58852041,-3150.435544
2020-03-03 00:17:12+00:00,-0.352355192,12722.60648,17700.47928
2020-03-04 00:15:30+00:00,-0.527990505,-12530.72903,-73416.74128
2020-03-05 00:05:26+00:00,-0.573485195,-40277.0773,-154915.4599
2020-03-06 00:13:18+00:00,-0.394046166,-11539.32208,-41598.25588
2020-03-07 00:00:00+00:00,-0.619271491,-105666.3425,-524486.8206
2020-03-08 00:06:18+00:00,-0.520040531,-17708.042,-82102.83116
2020-03-09 00:06:32+00:00,-0.381681274,-7146.368206,-30748.20296
2020-03-10 00:00:00+00:00,-0.539334506,-8804.098643,-37798.9755
2020-03-11 00:00:53+00:00,-0.30922906,-2139.952367,-12451.85718
2020-03-12 00:00:00+00:00,-0.37369079,-15914.8537,-62907.4182
2020-03-13 00:00:00+00:00,-0.376827586,-19155.37674,-57337.79264
2020-03-14 00:09:20+00:00,-0.24952274,-11446.57453,-52054.87978
2020-03-15 00:11:52+00:00,-0.24172412,-12810.77909,-73674.18823
2020-03-16 00:00:00+00:00,-0.173375088,-4226.455006,-18688.71143
2020-03-17 00:01:38+00:00,-0.387667791,-13221.60387,-60545.93062
2020-03-18 00:00:00+00:00,-0.25956667,-13095.09784,-58647.08825
2020-03-19 00:07:08+00:00,-0.313736337,-10074.20233,-45269.08503
2020-03-20 00:11:37+00:00,-0.358299444,-26861.58008,-129373.8246
2020-03-21 00:00:00+00:00,-0.151666269,-4668.533534,-20878.50893
2020-03-22 00:00:44+00:00,-0.197879634,-3462.922655,-13191.27393
2020-03-23 00:04:12+00:00,-0.240144525,-7961.593909,-35052.76534
2020-03-24 00:02:46+00:00,-0.204464651,-1386.854533,-6736.788575
2020-03-25 00:00:00+00:00,-0.162871045,313.8827628,847.7122045
2020-03-26 00:00:00+00:00,-0.139212828,-27.45063355,3103.396109
2020-03-27 00:01:46+00:00,-0.157051989,-1038.079439,-3226.833818
2020-03-28 00:07:47+00:00,-0.17188454,-19354.4347,-62608.86538
2020-03-29 00:12:43+00:00,-0.222824067,-9574.486326,-29841.61239
2020-03-30 00:16:49+00:00,-0.314990011,-5748.910271,-16194.92487
2020-03-31 00:08:02+00:00,-0.214659473,-4276.8938,-12773.87348
